Year,Quarter,CountryOfAsylum,nationality,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,Childinschool,Childvirtualed,medicalReceived,RiskYes,RiskReturn_medical
2021,Q3,Argentina,venezuela,stay,1.0,0.0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1.0
2021,Q3,Argentina,venezuela,dontknow,3.0,1.0,yes,yes,no,StronglyAgree,Undecided,0.0
2021,Q3,Argentina,venezuela,relocate,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,relocate,2.0,3.0,yes,yes,Nainpersonclasses,Agree,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,3.0,yes,yes,yes,Undecided,Agree,0.0
2021,Q3,CostaRica,other,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,relocate,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,3.0,1.0,yes,yes,yes,Agree,StronglyAgree,0.0
2021,Q3,Argentina,venezuela,stay,5.0,1.0,yes,yes,yes,Agree,StronglyAgree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,4.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,3.0,3.0,no,no,no,Agree,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,3.0,2.0,yes,yes,no,StronglyAgree,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,stay,2.0,0.0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,stay,1.0,0.0,no,Not Applicable,Not Applicable,Disagree,Agree,0.0
2021,Q3,CostaRica,other,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,2.0,yes,yes,no,Agree,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,stay,3.0,2.0,yes,yes,yes,Undecided,StronglyAgree,0.0
2021,Q3,Argentina,venezuela,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,3.0,yes,yes,no,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,4.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,dontknow,1.0,0.0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,0.0,yes,Not Applicable,Not Applicable,Undecided,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,3.0,0.0,yes,Not Applicable,Not Applicable,Agree,StronglyAgree,0.0
2021,Q3,CostaRica,other,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,4.0,yes,yes,no,StronglyAgree,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,1.0,0.0,yes,Not Applicable,Not Applicable,Disagree,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,stay,3.0,0.0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,relocate,2.0,0.0,yes,Not Applicable,Not Applicable,Agree,StronglyDisagree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,3.0,0.0,yes,Not Applicable,Not Applicable,Agree,StronglyAgree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,stay,3.0,2.0,yes,yes,no,Agree,StronglyAgree,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,relocate,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,stay,3.0,1.0,yes,yes,no,StronglyAgree,StronglyAgree,1.0
2021,Q3,Argentina,venezuela,stay,2.0,1.0,yes,yes,no,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,stay,3.0,0.0,yes,Not Applicable,Not Applicable,Undecided,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,1.0,0.0,yes,Not Applicable,Not Applicable,Agree,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,5.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,2.0,1.0,yes,yes,no,Agree,Agree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,0.0,yes,Not Applicable,Not Applicable,Undecided,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,2.0,2.0,yes,yes,no,StronglyAgree,StronglyAgree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,1.0,0.0,yes,Not Applicable,Not Applicable,Agree,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,3.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,0.0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyDisagree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,1.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,3.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,1.0,yes,yes,no,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,stay,1.0,1.0,yes,yes,no,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,stay,1.0,0.0,yes,Not Applicable,Not Applicable,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,3.0,yes,yes,no,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,other,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,2.0,yes,no,no,Undecided,StronglyAgree,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,1.0,yes,yes,yes,Agree,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,dontknow,2.0,0.0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1.0
2021,Q3,CostaRica,nicaragua,Unknown,2.0,2.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,Argentina,venezuela,Unknown,2.0,1.0,Unknown,yes,no,Undecided,Undecided,0.0
2021,Q3,CostaRica,nicaragua,stay,2.0,3.0,yes,yes,yes,Undecided,Agree,0.0
2021,Q3,CostaRica,nicaragua,Unknown,1.0,0.0,Unknown,Not Applicable,Not Applicable,Undecided,Undecided,0.0
